Duration (Seconds),CPU_Usage,Memory_Usage,Disk_Usage
308,1.25,11.1,0.0
309,2.7,11.1,0.0
310,0.75,11.1,0.0
311,2.475,11.1,0.0
312,1.95,11.1,0.0
313,2.0,11.1,0.0
314,2.25,11.1,0.0
315,2.475,11.1,0.0
316,1.0,11.1,0.0
317,1.75,11.1,0.0
318,1.5,11.1,0.0
319,1.975,11.1,0.0
320,0.75,11.1,0.0
321,1.75,11.1,0.0
322,1.5,11.1,0.0
323,2.25,11.1,0.0
324,0.75,11.1,0.0
325,1.5,11.1,0.0
326,1.975,11.1,0.0
327,1.25,11.1,0.0
328,1.75,11.1,0.0
329,20.5,11.1,0.0
330,2.25,11.1,0.0
331,2.5,11.1,0.0
332,1.0,11.1,0.0
333,2.0,11.1,0.0
334,4.5,11.1,0.0
335,1.75,11.1,0.0
336,1.5,11.1,0.0
337,3.225,11.1,0.0
338,2.5,11.1,0.0
339,2.0,11.1,0.0
340,0.75,11.1,0.0
341,2.225,11.1,0.0
342,1.0,11.1,0.0
343,2.225,11.1,0.0
344,1.5,11.1,0.0
345,1.25,11.1,0.0
346,1.5,11.1,0.0
347,1.0,11.1,0.0
348,1.75,11.1,0.0
349,1.75,11.1,0.0
350,1.25,11.1,0.0
351,1.75,11.1,0.0
352,1.5,11.1,0.0
353,1.75,11.1,0.0
354,1.75,11.1,0.0
355,2.0,11.1,0.0
356,1.0,11.1,0.0
357,1.5,11.1,0.0
358,1.5,11.1,0.0
