Duration (Seconds),CPU_Usage,Memory_Usage,Disk_Usage
543,1.5,10.9,0.0
544,1.0,10.9,0.0
545,2.0,10.9,0.0
546,1.25,10.9,0.0
547,1.75,10.9,0.0
548,1.5,10.9,0.0
549,3.05,10.9,0.0
550,6.4,10.9,0.0
551,10.125,10.9,0.0
552,5.25,10.9,0.0
553,2.975,10.9,0.0
554,1.0,10.9,0.0
555,2.0,10.9,0.0
556,5.525,10.9,0.0
557,7.275,10.9,0.0
558,2.0,10.9,0.0
559,9.5,10.9,0.0
560,4.25,10.9,0.0
561,2.0,10.9,0.0
562,1.75,10.9,0.0
563,2.0,10.9,0.0
564,1.25,10.9,0.0
565,1.5,10.9,0.0
566,1.0,10.9,0.0
567,2.25,10.9,0.0
568,1.0,10.9,0.0
569,2.5,10.9,0.0
570,1.25,10.9,0.0
571,1.25,10.9,0.0
572,1.725,10.9,0.0
573,2.95,10.9,0.0
574,1.25,10.9,0.0
575,1.725,10.9,0.0
576,0.75,10.9,0.0
577,1.5,10.9,0.0
578,1.25,10.9,0.0
579,2.225,10.9,0.0
580,1.25,10.9,0.0
581,2.0,10.9,0.0
582,1.5,10.9,0.0
583,1.75,10.9,0.0
584,1.975,10.9,0.0
585,1.75,10.9,0.0
586,1.25,10.9,0.0
587,2.25,10.9,0.0
588,0.75,10.9,0.0
589,1.75,10.9,0.0
590,1.25,10.9,0.0
591,1.975,10.9,0.0
592,1.5,10.9,0.0
593,1.975,10.9,0.0
594,1.25,10.9,0.0
595,1.25,10.9,0.0
596,2.0,10.9,0.0
597,1.25,10.9,0.0
598,1.25,10.9,0.0
599,1.75,10.9,0.0
600,18.025,11.0,0.0
601,13.65,11.1,0.0
602,3.25,11.1,0.0
603,6.75,11.2,0.0
604,2.225,11.2,0.0
605,8.175,11.2,0.0
606,2.0,11.2,0.0
607,5.05,11.2,0.0
608,0.75,11.2,0.0
609,3.25,11.2,0.0
610,1.75,11.2,0.0
611,10.65,11.2,0.0
612,63.025000000000006,11.4,0.0
613,85.225,11.6,0.0
614,89.125,11.8,0.0
615,13.775,11.8,0.0
616,4.275,11.8,0.0
617,6.05,11.8,0.0
618,7.2,11.8,0.0
619,3.225,11.8,0.0
620,18.25,11.7,0.0
621,89.95,12.0,0.0
622,32.45,12.0,0.0
623,7.15,12.0,0.0
624,52.925,12.0,0.0
625,71.55,12.0,0.0
626,64.55,11.8,0.0
627,93.725,11.8,0.0
628,89.1,12.0,0.0
629,49.3,12.1,0.0
630,10.6,12.2,0.0
631,33.5,12.0,0.0
632,18.35,12.0,0.0
633,26.25,11.8,0.0
634,3.725,11.8,0.0
635,5.8,11.8,0.0
636,80.15,11.8,0.0
637,97.0,12.3,0.0
638,88.225,12.0,0.0
639,41.1,11.9,0.0
